County,Crime Rate per 100k,Murder,Rape,Robbery,Assault,Burglary,Larceny,MV Theft,Arson,Population,Avg_Rating,Median_Rating,Avg_Price,Rest_Count,Avg_Lat,Avg_Lng,CountyName,State
"Martinsville city, VA",283.5332606,1,6,7,25,77,320,20,5,13755,3.82,4.0,1.3947368421052628,50,36.689286093712774,-79.87994234469883,Martinsville city,VA
"Northampton County, NC",283.12299049999996,1,5,9,44,205,184,31,2,20839,4.22,4.5,1.6382978723404256,50,36.27264129209543,-77.6785920788911,Northampton County,NC
"Lamb County, TX",283.1215971000001,1,1,5,32,119,246,18,4,13775,3.72,4.0,1.2777777777777777,25,34.122155523470695,-102.55263474950188,Lamb County,TX
"Barber County, KS",282.9997979,0,1,0,13,15,68,13,2,4947,3.0,3.0,1.0,7,37.27850578535554,-98.58436177762295,Barber County,KS
"Levy County, FL",282.51437799999997,0,18,5,89,323,590,45,1,39644,4.18,4.0,1.608695652173913,50,29.39146507263258,-82.65968488732933,Levy County,FL
"Toombs County, GA",282.33051,3,8,14,52,235,610,34,1,27273,3.63,4.0,1.358974358974359,50,32.20545512551627,-82.37612048874063,Toombs County,GA
"Van Buren County, MI",282.2874561000001,0,50,13,150,418,1127,88,14,75455,3.76,3.5,1.2352941176470589,25,42.244625970209064,-86.08659582878313,Van Buren County,MI
"Humboldt County, NV",282.2092956,2,0,2,45,62,111,24,2,17363,3.84,4.0,1.4761904761904765,50,40.855822080112254,-117.67849045348804,Humboldt County,NV
"Pettis County, MO",281.9571141,0,6,16,97,497,1389,86,9,42205,3.61,3.5,1.5121951219512195,50,38.703719324073134,-93.2553221431506,Pettis County,MO
"Mingo County, WV",281.85328189999996,3,2,5,63,86,177,31,1,25900,3.98,4.0,1.4411764705882353,50,37.71084271081711,-82.1298737519954,Mingo County,WV
"St. Johns County, FL",281.4254437,8,14,58,510,929,3514,167,4,209647,3.77,3.75,1.575,50,29.945501955448947,-81.412306364553,St. Johns County,FL
"Luzerne County, PA",281.15950180000004,17,88,233,562,1661,5892,354,55,320103,4.14,4.0,1.6875,50,41.2257210559102,-75.90413062373409,Luzerne County,PA
"Barry County, MO",281.119982,0,7,7,86,363,940,67,10,35572,3.28125,4.0,1.2727272727272727,16,36.668826080207076,-93.87080881951816,Barry County,MO
"Broadwater County, MT",281.0962755,0,2,0,14,3,40,1,2,5692,4.4444444444444455,4.5,1.0,9,46.32100948297182,-111.5217360426869,Broadwater County,MT
"Greene County, AR",280.762002,2,15,17,87,685,1077,93,7,43097,3.89,4.0,1.2727272727272727,50,36.053550781618746,-90.5088352539254,Greene County,AR
"Washington County, FL",280.214425,0,3,4,62,100,283,17,2,24624,4.0,4.0,1.5,7,30.642704821869646,-85.61078195466665,Washington County,FL
"Marion County, AL",280.2136217,1,7,3,74,201,402,42,5,30334,3.571428571428572,3.5,1.2,21,34.13136623363612,-87.99454614667934,Marion County,AL
"Yazoo County, MS",279.7403436,1,7,16,54,252,239,23,0,27883,3.7352941176470584,4.0,1.4615384615384617,17,32.83768979304714,-90.37942682335992,Yazoo County,MS
"Scott County, IN",279.4927415,2,10,8,46,274,756,25,1,23972,3.28125,3.5,1.32,32,38.698004583802046,-85.78972567205727,Scott County,IN
"Jasper County, GA",279.39122119999996,0,4,0,34,75,110,10,0,13601,3.6071428571428568,3.75,1.0,14,33.3707079919863,-83.7509472620195,Jasper County,GA
"Harford County, MD",279.2769296,3,54,156,483,1020,2817,206,41,249215,4.02,4.0,1.8333333333333333,50,39.50793349118128,-76.32845111000475,Harford County,MD
